Feature,NumTasksSelected,MeanAcc,MaxAcc,MinAcc
O2_peak_beta,5,66.0706018518518,66.9270833333333,65.3645833333333
F4_TBR,4,68.6848958333333,73.1770833333333,64.84375
Fz_DN_HistogramMode_5,4,65.8564814814815,67.5925925925926,62.5
C3_TCdelta,4,65.3631365740741,68.4895833333333,62.2685185185185
Fz_peak_gamma,3,74.6527777777778,76.5625,70.8333333333333
Fz_TBR,3,72.3462301587302,77.8645833333333,61.3095238095238
O1_TBR,3,68.070987654321,70.3703703703704,65.5092592592593
O1_peak_gamma,3,67.5077160493827,71.0648148148148,62.5
F3_PAC_DT,3,66.724537037037,67.4479166666667,65.2777777777778
F3_peak_beta_narrow,3,65.7407407407407,66.6666666666667,63.8888888888889
Fz_DN_HistogramMode_10,3,65.2777777777778,66.6666666666667,62.5
T8_CO_trev_1_num,3,63.7152777777778,64.5833333333333,61.9791666666667
C3_PAC_DA,2,78.2552083333333,78.3854166666667,78.125
T8_PAC_DT,2,71.3541666666667,80.9027777777778,61.8055555555556
F4_ABR,2,69.7916666666667,69.7916666666667,69.7916666666667
P4_TCdelta,2,69.3865740740741,75.3472222222222,63.4259259259259
Fz_CO_trev_1_num,2,68.5185185185185,70.3703703703704,66.6666666666667
O1_SB_BinaryStats_mean_longstretch1,2,67.7083333333333,67.7083333333333,67.7083333333333
T7_TCdelta,2,66.6666666666667,68.75,64.5833333333333
T8_peak_gamma,2,66.1458333333333,66.1458333333333,66.1458333333333
F3_CO_Embed2_Dist_tau_d_expfit_meandiff,2,65.5208333333333,66.4583333333333,64.5833333333333
C4_PAC_DT,2,65.4658564814815,67.96875,62.962962962963
O1_PAC_DT,2,65.3645833333333,65.3645833333333,65.3645833333333
Fz_PAC_DB,2,64.5833333333333,64.5833333333333,64.5833333333333
Fz_DN_OutlierInclude_n_001_mdrmd,2,64.5833333333333,66.6666666666667,62.5
Fz_DN_OutlierInclude_p_001_mdrmd,2,64.5833333333333,66.6666666666667,62.5
Fz_IN_AutoMutualInfoStats_40_gaussian_fmmi,2,64.5833333333333,66.6666666666667,62.5
Fz_PD_PeriodicityWang_th0_01,2,64.5833333333333,66.6666666666667,62.5
C3_DN_HistogramMode_10,2,62.962962962963,64.3518518518518,61.5740740740741
C4_TBR,1,84.7222222222222,84.7222222222222,84.7222222222222
T8_TCdelta,1,77.0833333333333,77.0833333333333,77.0833333333333
F3_PAC_DA,1,74.7916666666667,74.7916666666667,74.7916666666667
T8_CO_Embed2_Dist_tau_d_expfit_meandiff,1,74.0740740740741,74.0740740740741,74.0740740740741
F4_peak_gamma,1,73.6111111111111,73.6111111111111,73.6111111111111
C3_PAC_DT,1,68.75,68.75,68.75
F4_peak_beta_narrow,1,68.5185185185185,68.5185185185185,68.5185185185185
T8_TBR,1,68.0555555555556,68.0555555555556,68.0555555555556
O2_peak_beta_narrow,1,67.8240740740741,67.8240740740741,67.8240740740741
Pz_peak_beta,1,67.7083333333333,67.7083333333333,67.7083333333333
O1_TR,1,67.3611111111111,67.3611111111111,67.3611111111111
P3_MD_hrv_classic_pnn40,1,67.2619047619048,67.2619047619048,67.2619047619048
Fz_SB_BinaryStats_diff_longstretch0,1,66.6666666666667,66.6666666666667,66.6666666666667
Fz_SP_Summaries_welch_rect_area_5_1,1,66.6666666666667,66.6666666666667,66.6666666666667
Fz_CO_HistogramAMI_even_2_5,1,66.4583333333333,66.4583333333333,66.4583333333333
O1_peak_beta_narrow,1,66.2037037037037,66.2037037037037,66.2037037037037
C4_ABR,1,66.1458333333333,66.1458333333333,66.1458333333333
Pz_TCdelta,1,65.7407407407407,65.7407407407407,65.7407407407407
F4_PAC_DT,1,65.5092592592593,65.5092592592593,65.5092592592593
Pz_PD_PeriodicityWang_th0_01,1,65.1785714285714,65.1785714285714,65.1785714285714
P3_PAC_DB,1,64.8809523809524,64.8809523809524,64.8809523809524
Pz_peak_beta_narrow,1,64.84375,64.84375,64.84375
C3_CO_trev_1_num,1,64.8148148148148,64.8148148148148,64.8148148148148
F3_CO_HistogramAMI_even_2_5,1,64.8148148148148,64.8148148148148,64.8148148148148
F3_IN_AutoMutualInfoStats_40_gaussian_fmmi,1,64.5833333333333,64.5833333333333,64.5833333333333
P3_TBR,1,64.2857142857143,64.2857142857143,64.2857142857143
Oz_PAC_DT,1,63.9583333333333,63.9583333333333,63.9583333333333
Oz_TCdelta,1,63.8020833333333,63.8020833333333,63.8020833333333
Oz_ABR,1,63.5416666666667,63.5416666666667,63.5416666666667
T7_peak_gamma,1,63.3928571428571,63.3928571428571,63.3928571428571
F4_CO_trev_1_num,1,63.3333333333333,63.3333333333333,63.3333333333333
F4_peak_beta,1,63.28125,63.28125,63.28125
Cz_PAC_DA,1,63.0208333333333,63.0208333333333,63.0208333333333
O1_CO_Embed2_Dist_tau_d_expfit_meandiff,1,62.962962962963,62.962962962963,62.962962962963
Pz_TBR,1,62.7604166666667,62.7604166666667,62.7604166666667
O1_CO_trev_1_num,1,62.5,62.5,62.5
O1_PAC_DA,1,62.5,62.5,62.5
P3_TCdelta,1,62.5,62.5,62.5
T8_TransR,1,62.2916666666667,62.2916666666667,62.2916666666667
C3_CO_HistogramAMI_even_2_5,1,62.2685185185185,62.2685185185185,62.2685185185185
O2_CO_HistogramAMI_even_2_5,1,62.2685185185185,62.2685185185185,62.2685185185185
P3_peak_theta,1,62.037037037037,62.037037037037,62.037037037037
T8_peak_beta,1,61.9791666666667,61.9791666666667,61.9791666666667
P4_CO_FirstMin_ac,1,61.9047619047619,61.9047619047619,61.9047619047619
O1_SB_TransitionMatrix_3ac_sumdiagcov,1,61.8055555555556,61.8055555555556,61.8055555555556
Pz_CO_trev_1_num,1,61.8055555555556,61.8055555555556,61.8055555555556
C4_PAC_DA,1,61.71875,61.71875,61.71875
C4_MD_hrv_classic_pnn40,1,61.3425925925926,61.3425925925926,61.3425925925926
Cz_CO_f1ecac,1,61.3425925925926,61.3425925925926,61.3425925925926
P3_IN_AutoMutualInfoStats_40_gaussian_fmmi,1,61.3425925925926,61.3425925925926,61.3425925925926
P4_SB_BinaryStats_diff_longstretch0,1,61.0119047619048,61.0119047619048,61.0119047619048
